4999,4999,4999,4999,1
4999,1,1,0,4999
0,4999,4999,330,4999
4999,4999,4999,4999,1
4999,4999,4999,4999,1
4999,4999,4999,4999,4999
4999,4999,4999,4999,4999
4999,4999,4999,0,2
0,1,1,1,4999
4999,4999,4999,0,4999
4999,4999,4999,4999,4999
4999,4999,4999,4999,4999
0,1,0,1,4999
4999,4999,4999,4999,2
4999,4999,4999,4999,4999
4999,4999,4999,4999,4999
4999,4999,4999,4999,2
4999,4999,1,4999,4999
0,1,8,0,0
1,1,1,1,4999
310,1895,176,4783,4999
0,3,44,8,1053
38,2,4999,2,11
2000,1590,4999,7,22
99,147,4999,76,4524
0,455,4924,1,230
4999,15,3,2,2
1619,41,504,1096,54
384,50,309,137,485
0,24,20,2,11
11,6,0,1,2
374,1,4,1,0
1364,0,0,0,0
515,65,281,144,59
211,3,16,16,61
28,21,8,12,7
0,10,0,163,39
39,35,45,16,109
44,72,148,97,34
0,353,288,72,17
0,46,199,210,7
328,123,48,94,2
457,628,384,118,138
478,32,1334,208,681
95,116,61,7,7
74,256,487,553,184
32,9,6,5,12
380,186,152,57,143
521,11,194,14,68
70,245,26,140,292
57,87,263,209,171
2,10,0,7,1
22,4,38,5,14
43,93,369,79,101
4,10,5,19,27
4,30,40,29,54
451,65,65,129,43
5,2,1,0,0
45,15,10,177,70
2,2,0,2,1
65,128,107,574,27
2,233,572,781,455
5,22,100,206,85
225,292,52,23,155
1,1866,44,1155,1320
2,1103,29,188,531
5,3,5,4,8
6,1,1,3,0
10,13,328,21,53
151,104,121,83,18
0,1,0,1,0
3,5,9,3,10
3,10,0,22,2
6,0,6,11,1
5,0,1,2,3
1,0,0,0,0
1364,416,85,145,328
67,27,207,79,164
0,2605,498,400,686
15,118,13,149,95
2,16,89,85,104
3,80,17,20,14
337,334,251,15,290
84,2,12,90,9
122,0,39,84,8
68,387,40,285,95
253,210,104,416,603
56,6,9,5,19
1102,159,328,70,479
0,3,0,29,4
212,0,5,6,19
0,1,1,0,2
21,36,0,0,2
0,4,1,1,0
1,6,0,3,0
95,53,313,838,566
17,52,1,4,7
11,7,4,7,19
102,290,221,1171,106
6,15,16,55,26
16,11,16,45,17
1,0,4,2,5
78,245,44,65,4
153,1,46,97,37
5,1,1,0,3
549,103,315,463,3
0,6,12,1,8
33,36,2,70,110
7,0,13,4,4
44,9,14,8,6
14,9,9,11,6
99,6,226,1,27
41,119,208,0,102
105,197,92,113,360
1145,241,1046,104,694
667,120,3074,10,65
27,1,19,16,1
9,53,2,16,50
259,156,300,5,94
4,9,5,53,10
5,43,20,51,16
130,130,242,117,54
30,1,91,45,2
0,18,5,4,1
120,97,194,189,148
3,409,578,233,203
19,185,46,15,25
11,292,2,28,186
106,227,51,194,363
19,6,2,22,6
4,2588,588,4999,3922
13,22,67,5,3
111,23,116,14,126
10,0,14,3,7
97,32,16,71,142
1,279,78,599,747
45,233,432,320,41
2,1,88,18,16
0,0,0,1,8
0,1,1,4,0
5,308,314,3,73
94,5,91,205,38
11,5,8,23,78
32,7,14,22,6
261,365,139,166,345
43,8,16,18,22
55,190,13,12,28
61,25,3,19,42
12,3,59,19,168
19,47,61,90,54
