-54384.80063,-54385.58328,-0.587754596,-53173.9572
-0.000589596,-5.89E-07,-0.007200354,-0.000602675
-16454.0893,-1.36E-06,-15858.12023,-8912.814019
-8192.854709,-8187.248811,-8154.811747,-6386.767709
-20320.8708,-20322.55603,-20301.02491,-20008.87082
-18775.41959,-18771.41968,-18647.54289,-17155.92111
-3758.50327,-3737.655737,-3591.83651,-3760.735493
-10.50937919,-0.552082203,-0.407120448,-18.58729418
-3.38E-06,-11.70843538,-8.700595884,-3.29E-06
-3046.126979,-3049.59411,-0.379034696,-3062.315916
-24798.82018,-24780.91649,-24672.02463,-21157.39399
-6767.078929,-6752.745502,-6696.461183,-7313.554473
-9.71E-06,-0.282632086,-0.013955885,-9.94E-06
-51074.5801,-51066.93616,-50935.35079,-40482.99607
-2179.204929,-2180.07507,-2182.173142,-2749.402515
-28314.2552,-0.000122496,-28291.05862,-28627.13961
-2474.484235,-2476.496759,-2475.597421,-2509.729532
-2064.402132,-2070.38924,-2071.829224,-2259.030649
-3.72E-09,-0.062717675,-1.407743034,-2.03E-09
-5.41E-05,-0.181028453,-1.135966487,-5.57E-05
-15749.91812,-0.00058786,-17151.90723,-68310.65746
-7.17E-06,-304.2314817,-17.07272187,-66722.8301
-9.691108572,-404.1481086,-112.8501153,-34266.7066
-1.716952628,-0.931638977,-5.46703572,-1.529785559
-21.39046231,-1485.937493,-1532.936485,-1202.829474
-61.95332247,-0.021021433,-1777.263279,-3403.32392
-0.00270834,-0.002619708,-0.3606274,-4.16E-05
-73.50368377,-1492.444128,-212.4565761,-25761.58444
-8750.361038,-15916.78668,-152.7881514,-226.0202401
-27.75750276,-10.07959825,-877.7749187,-255.2770883
-8.96E-05,-0.372395328,-0.006051821,-0.000148011
-0.010212483,-42.54781159,-4.88E-05,-0.248581079
-4.34E-06,-7115.008944,-0.10421363,-0.570542042
-447.2895296,-180.2539116,-87.6795951,-85.18757528
-3.115945514,-13.68929441,-1.767422038,-0.002723922
-13538.05061,-5.159461824,-13.25646631,-3.332801908
-25.44529405,-0.793808336,-201.8530439,-29.57153502
-7.185409638,-6.582525575,-23.0068449,-44.44839557
-19.53679245,-8.097058865,-115.1466484,-32.98827989
-64.48253865,-45.99003121,-504.82612,-2047.806459
-52602.76446,-12.5415575,-2461.027739,-128.3502936
-23444.025,-300.5338969,-303.2100938,-788.1323148
-12.22965449,-7751.985705,-20.44098222,-33.16696483
-68.38082133,-733.1065495,-37.44596784,-272.3448711
